symbol,company_name,sector,series
ANANDRATHI,Anand Rathi Wealth Limited,Financial Products Distributor,EQ
ANANTRAJ,Anant Raj Limited,Residential Commercial Projects,EQ
ANGELONE,Angel One Limited,Stockbroking & Allied,EQ
APARINDS,Apar Industries Limited,Other Electrical Equipment,EQ
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products,EQ
APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital,EQ
APOLLOTYRE,Apollo Tyres Limited,Tyres & Rubber Products,EQ
APTUS,Aptus Value Housing Finance India Limited,Housing Finance Company,EQ
ARE&M,Amara Raja Energy & Mobility Limited,Auto Components & Equipments,EQ
ASAHIINDIA,Asahi India Glass Limited,Auto Components & Equipments,EQ
ASHOKLEY,Ashok Leyland Limited,Commercial Vehicles,EQ
ASIANPAINT,Asian Paints Limited,Paints,EQ
ASTERDM,Aster DM Healthcare Limited,Hospital,EQ
ASTRAL,Astral Limited,Plastic Products - Industrial,EQ
ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals,EQ
ATGL,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier,EQ
ATHERENERG,Ather Energy Limited,2/3 Wheelers,EQ
ATUL,Atul Limited,Specialty Chemicals,EQ
AUBANK,AU Small Finance Bank Limited,Other Bank,EQ
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,EQ
AWL,AWL Agri Business Limited,Edible Oil,EQ
AXISBANK,Axis Bank Limited,Private Sector Bank,EQ
BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers,EQ
BAJAJFINSV,Bajaj Finserv Limited,Holding Company,EQ
BAJAJHFL,Bajaj Housing Finance Limited,Housing Finance Company,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Holding Company,EQ
BAJFINANCE,Bajaj Finance Limited,Non Banking Financial Company (NBFC),EQ
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products,EQ
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,EQ
BANDHANBNK,Bandhan Bank Limited,Private Sector Bank,EQ
BANKBARODA,Bank of Baroda,Public Sector Bank,EQ
BANKINDIA,Bank of India,Public Sector Bank,EQ
BASF,BASF India Limited,Specialty Chemicals,EQ
BATAINDIA,Bata India Limited,Footwear,EQ
BAYERCROP,Bayer Cropscience Limited,Pesticides & Agrochemicals,EQ
BBTC,The Bombay Burmah Trading Corporation Limited,Packaged Foods,EQ
BDL,Bharat Dynamics Limited,Aerospace & Defense,EQ
BEL,Bharat Electronics Limited,Aerospace & Defense,EQ
BEML,BEML Limited,Construction Vehicles,EQ
BERGEPAINT,Berger Paints (I) Limited,Paints,EQ
BHARATFORG,Bharat Forge Limited,Auto Components & Equipments,EQ
BHARTIARTL,Bharti Airtel Limited,Telecom - Cellular & Fixed line services,EQ
BHARTIHEXA,Bharti Hexacom Limited,Telecom - Cellular & Fixed line services,EQ
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment,EQ
BIKAJI,Bikaji Foods International Limited,Packaged Foods,EQ
BIOCON,Biocon Limited,Pharmaceuticals,EQ
BLS,BLS International Services Limited,Tour Travel Related Services,EQ
BLUEDART,Blue Dart Express Limited,Logistics Solution Provider,EQ
BLUEJET,Blue Jet Healthcare Limited,Pharmaceuticals,EQ
BLUESTARCO,Blue Star Limited,Household Appliances,EQ
BOSCHLTD,Bosch Limited,Auto Components & Equipments,EQ
BPCL,Bharat Petroleum Corporation Limited,Refineries & Marketing,EQ
BRIGADE,Brigade Enterprises Limited,Residential Commercial Projects,EQ
BRITANNIA,Britannia Industries Limited,Packaged Foods,EQ
BSE,BSE Limited,Exchange and Data Platform,EQ
BSOFT,BIRLASOFT LIMITED,Computers - Software & Consulting,EQ
CAMPUS,Campus Activewear Limited,Footwear,EQ
CAMS,Computer Age Management Services Limited,Depositories Clearing Houses and Other Intermediaries,EQ
